IP addresses and open ports
Discovered open port 445/tcp on 192.168.0.7
Discovered open port 3306/tcp on 192.168.0.7
Discovered open port 135/tcp on 192.168.0.7
Discovered open port 139/tcp on 192.168.0.7
Discovered open port 49669/tcp on 192.168.0.7
Discovered open port 33060/tcp on 192.168.0.7
Discovered open port 49670/tcp on 192.168.0.7
Discovered open port 49665/tcp on 192.168.0.7
Discovered open port 49674/tcp on 192.168.0.7
Discovered open port 49668/tcp on 192.168.0.7
Discovered open port 49664/tcp on 192.168.0.7
Discovered open port 5040/tcp on 192.168.0.7

